ID	回复回合数	时间数
12030561:12096436 0 0.000000
12030561:12098197 0 0.000000
12030561:12112384 0 0.683333
12030561:12117053 0 1130.183333
12030561:12117864 9 65.700000
12030561:12118352 0 0.000000
12030561:12121398 13 38.300000
12030561:12121886 0 0.133333
12030561:12122539 0 0.000000
12030562:12054548 0 0.000000
12030562:12093045 0 0.000000
12030562:12095942 0 0.000000
12030562:12099162 0 0.000000
12030562:12101258 0 0.000000
12030562:12101266 0 0.000000
12030562:12101741 0 0.000000
12030562:12112383 0 0.000000
12030562:12118994 0 0.750000
12030562:12119640 0 0.083333
12030562:12119790 0 0.000000
12030562:12120273 0 0.000000
12030562:12120431 0 0.000000
12030562:12120766 4 4.516667
12030562:12121885 1 15.183333
12030562:12122045 0 175.733333
12030562:12122368 8 15.533333
12030564:12043416 0 0.616667
12030564:12045198 0 0.250000
12030564:12089499 0 0.000000
12030564:12095939 0 0.000000
12030564:12095945 0 0.000000
12030564:12097720 0 0.000000
12030564:12098688 0 0.000000
12030564:12099484 0 0.000000
12030564:12099972 0 0.000000
12030564:12100136 0 0.000000
12030564:12100455 0 0.000000
12030564:12116737 0 1167.150000
12030564:12117849 0 0.050000
12030564:12117861 0 0.000000
12030564:12118339 1 1.133333
12030564:12118349 15 2162.900000
12030564:12118832 7 16.800000
12030564:12119638 8 24.666667
12030564:12119788 1 4.416667
12030564:12120604 7 7.950000
12030564:12120764 9 1299.216667
12030564:12121560 0 26.450000
12030564:12121883 0 8.316667
12030564:12122536 0 0.000000
12030566:12098208 0 0.000000
12030566:12098691 0 0.000000
12030566:12099007 0 0.000000
12030566:12100453 0 0.000000
12030566:12102075 0 0.000000
12030566:12109153 0 1366.733333
12030566:12115769 1 202.316667
12030566:12116558 1 2688.866667
12030566:12116565 12 2893.250000
12030566:12116735 0 5.466667
12030566:12118024 1 7.766667
12030566:12118854 7 15.100000
12030566:12118990 0 0.000000
12030566:12120427 0 0.000000
12030566:12121558 9 34.933333
12030566:12122041 0 3.316667
12030569:12043416 0 0.000000
12030569:12089499 0 0.000000
12030569:12092065 0 0.000000
12030569:12095935 0 0.000000
12030569:12097715 0 0.000000
12030569:12100450 0 0.000000
12030569:12101259 0 0.000000
12030569:12109793 0 0.000000
12030569:12114944 0 0.000000
12030569:12116555 1 860.566667
12030569:12116562 1 865.166667
12030569:12116596 0 0.000000
12030569:12117215 0 0.283333
12030569:12117844 4 1278.733333
12030569:12117856 1 0.666667
12030569:12117861 0 0.000000
12030569:12118987 0 0.350000
12030569:12119633 0 0.000000
12030569:12119783 7 652.250000
12030569:12120589 0 0.000000
12030570:12090952 0 0.000000
12030570:12100454 0 0.000000
12030570:12101743 0 0.000000
12030570:12102231 0 0.000000
12030570:12116566 1 1003.700000
12030570:12116571 1 856.333333
12030570:12118343 0 0.000000
12030570:12118493 7 15.600000
12030570:12118816 12 5.833333
12030570:12119309 0 0.766667
12030570:12119782 0 0.000000
12030570:12120758 0 0.000000
12030570:12121877 0 0.000000
12030570:12121882 8 9.066667
12030570:12121887 0 0.000000
12030572:12071940 0 0.000000
12030572:12086111 0 0.000000
12030572:12096101 0 0.000000
12030572:12096736 0 0.000000
12030572:12097873 0 0.000000
12030572:12099476 0 0.000000
12030572:12101741 0 0.000000
12030572:12111238 0 0.000000
12030572:12115429 0 0.000000
12030572:12115763 1 0.783333
12030572:12116086 0 0.000000
12030572:12116552 0 0.133333
12030572:12116559 0 3.750000
12030572:12117042 0 0.100000
12030572:12118824 0 0.133333
12030572:12118984 9 1380.083333
12030572:12120596 2 3.083333
12030572:12121875 0 0.000000
12030572:12122358 0 0.000000
12030572:12122528 0 0.000000
12030574:12055019 0 0.000000
12030574:12121072 0 0.000000
12030575:12095454 0 0.000000
12030575:12095929 0 0.000000
12030575:12098183 0 0.000000
12030575:12099483 0 0.466667
12030575:12101284 0 0.000000
12030575:12102216 0 0.000000
12030575:12107049 0 0.116667
12030575:12113007 0 0.000000
12030575:12116243 6 2347.650000
12030575:12116549 0 0.000000
12030575:12116556 0 0.000000
12030575:12116710 0 0.000000
12030575:12117039 8 6.450000
12030575:12118015 0 0.316667
12030575:12118498 0 16.183333
12030575:12119777 0 0.433333
12030575:12120105 5 9.833333
12030575:12120270 0 0.000000
12030575:12120901 0 0.000000
12030575:12121071 0 0.000000
12030575:12121384 0 1.750000
12030575:12121877 9 74.100000
12030575:12122032 0 19.133333
12030575:12122525 2 1.150000
12030577:12099471 0 0.000000
12030577:12100452 0 0.000000
12030577:12101736 0 0.000000
12030577:12116547 0 0.166667
12030577:12116559 0 0.650000
12030577:12116708 0 0.000000
12030577:12117047 0 0.266667
12030577:12117207 0 0.000000
12030577:12118336 0 0.066667
12030577:12118496 7 18.450000
12030577:12118979 0 0.083333
12030577:12119302 0 0.000000
12030577:12120108 0 0.000000
12030577:12120416 0 0.200000
12030577:12120751 0 0.483333
12030577:12121382 0 0.000000
12030577:12121875 0 0.000000
12030580:12095133 0 0.000000
12030580:12095924 0 0.000000
12030580:12101723 0 0.000000
12030580:12111238 0 0.000000
12030580:12115272 0 0.000000
12030580:12116551 0 0.000000
12030580:12116556 0 0.000000
12030580:12118010 0 0.000000
12030580:12118483 0 16.200000
12030580:12118493 9 7.983333
12030580:12118816 0 0.250000
12030580:12118840 0 0.066667
12030580:12119772 0 0.000000
12030580:12120748 13 8.366667
12030580:12120896 0 0.000000
12030580:12122350 7 27.800000
12030583:12117842 0 0.000000
12030583:12119769 0 0.000000
12030583:12120262 0 0.000000
12030585:12110434 0 0.000000
12030585:12120095 0 0.000000
12030585:12122668 3 2.383333
12030587:12096893 0 0.483333
12030587:12120741 4 10.533333
12030599:12054511 0 0.000000
12030602:12109605 0 0.000000
12030625:12116540 0 0.000000
12030625:12120060 2 50.900000
12030641:12096032 0 0.000000
12030641:12117784 2 9.633333
12030641:12118779 0 1.666667
12030641:12119561 1 0.466667
12030659:12116626 1 789.800000
12030659:12116965 1 37.183333
12030659:12118249 10 18.516667
12030659:12118404 0 0.000000
12030659:12121788 1 0.683333
12030667:12119535 0 5.283333
12030667:12120491 0 104.050000
12030668:12097777 0 0.000000
12030668:12119534 0 0.000000
12030741:12111238 0 0.000000
12030744:12102856 0 0.066667
12030745:12110274 0 0.000000
12031715:12117348 0 0.000000
12031787:12120820 0 0.283333
12032508:12116878 2 310.183333
12032796:12117884 0 1387.450000
12033130:12121089 1 869.900000
12033188:12119269 1 588.783333
12035123:12117642 0 0.000000
12035169:12117931 15 2863.100000
12035458:12093316 1 74.700000
12035465:12096363 1 5.600000
12035822:12121816 0 0.000000
12038684:12117467 0 0.000000
12040237:12116730 0 488.616667
12030561:12074230 0 0.000000
12030561:12095458 0 0.000000
12030561:12095619 0 0.000000
12030561:12096595 0 0.000000
12030561:12098049 0 0.000000
12030561:12099338 0 0.000000
12030561:12113679 0 0.000000
12030561:12117056 10 13.350000
12030561:12117546 0 0.350000
12030561:12117570 18 1069.416667
12030561:12118019 0 0.000000
