ID	回复回合数	时间数
12074425:12077052 1 0.133333
12074425:12079469 1 0.000000
12074702:12075684 1 0.000000
12075084:12080261 1 0.266667
12075084:12080427 1 0.066667
12075797:12080352 1 0.000000
12075955:12081519 1 0.583333
12076373:12082036 1 0.000000
12077075:12082613 1 0.000000
12077450:12078051 1 0.166667
12077882:12078267 1 0.000000
12078261:12079179 1 0.000000
12078261:12081791 1 0.550000
12078336:12080750 1 1408.916667
12079162:12082138 1 0.000000
12079799:12080253 1 0.150000
12080296:12083758 1 0.000000
12050566:12079326 1 0.116667
12050566:12081103 1 0.266667
12050852:12079205 1 0.000000
12050962:12078478 1 0.000000
12051562:12073179 1 0.000000
12051602:12082353 1 0.400000
12051850:12078047 1 0.000000
12052323:12082890 1 0.133333
12052617:12063741 1 0.000000
12054112:12078831 1 0.000000
12055181:12059112 1 0.116667
12056208:12077552 1 0.000000
12056506:12075148 2 1438.383333
12058919:12075490 4 160.750000
12059131:12079457 1 3.200000
12059654:12076510 1 0.500000
12060751:12070597 1 0.183333
12061476:12075350 1 0.000000
12062589:12074910 1 0.183333
12063273:12066126 1 0.000000
12063370:12070063 73 1767.983333
12063741:12081648 1 0.000000
12063983:12068171 1 0.000000
12064153:12078020 1 0.000000
12064275:12078828 1 0.250000
12064436:12064686 1 95.350000
12064436:12079951 1 0.000000
12064439:12083494 1 0.000000
12064686:12071801 1 81.983333
12064686:12080189 1 1844.183333
12065117:12073476 1 0.000000
12065286:12080749 1 0.000000
12065488:12075350 1 0.000000
12066108:12076835 3 2459.450000
12066463:12080497 1 0.000000
12066562:12083788 1 1.433333
12066785:12078090 1 0.000000
12066886:12067038 1 1985.483333
12066886:12077860 1 0.000000
12066886:12078785 1 0.000000
12066923:12077782 1 0.000000
12066966:12077739 1 0.000000
12067510:12078161 1 0.000000
12067716:12081863 1 0.150000
12067984:12082525 1 0.000000
12068612:12082231 1 142.833333
12068663:12076212 1 0.000000
12068957:12080748 1 0.000000
12069132:12082702 1 182.900000
12069231:12071940 1 81.066667
12069231:12083410 1 0.166667
12069736:12081621 1 0.000000
12070047:12083046 1 0.233333
12070930:12080386 1 0.183333
12071873:12081220 1 0.000000
12072790:12082231 1 0.083333
12072998:12078800 1 0.000000
12073241:12082944 1 0.000000
12073541:12076164 1 0.000000
12073541:12082613 1 0.000000
12073790:12081231 1 0.000000
12074172:12076050 1 299.816667
12074455:12080250 1 0.000000
12074634:12076527 1 0.000000
12074702:12081617 1 0.483333
12074702:12082901 1 0.050000
12075007:12077280 1 0.000000
12075495:12077438 1 0.000000
12075618:12079252 9 2409.583333
12076020:12077722 1 0.000000
12076212:12080296 1 0.000000
12076519:12078336 26 839.383333
12076770:12077283 1 0.133333
12076894:12079260 1 0.016667
12077065:12083927 1 0.266667
12077116:12082259 1 0.316667
12077416:12080839 1 0.116667
12078051:12083743 1 0.333333
12078051:12083892 1 0.216667
12078100:12080314 1 0.083333
12078251:12080189 1 0.233333
12078331:12083653 1 0.000000
12078376:12082319 1 0.133333
12079185:12082799 1 0.000000
12079289:12083154 1 0.000000
12080306:12082972 1 0.000000
12080330:12083266 1 5.700000
12080583:12083984 1 0.000000
12080590:12081394 1 0.366667
12080924:12082798 1 0.000000
12050566:12077426 1 0.800000
12050622:12080750 1 0.000000
12050758:12063983 1 0.000000
12050962:12076835 1 2483.216667
12051602:12076190 1 0.000000
12052617:12072797 4 2084.800000
12052627:12080809 1 0.000000
12054723:12082257 1 0.266667
12054782:12069343 1 0.166667
12055675:12083884 1 0.133333
12056208:12079029 1 0.000000
12056208:12079807 1 2.233333
12056208:12082257 1 0.150000
12056983:12081477 1 0.250000
12057029:12060783 1 5.650000
12057029:12076084 1 11.033333
12060368:12073541 1 0.000000
12060627:12067981 1 0.000000
12060783:12063983 1 0.450000
12060783:12076519 1 0.133333
12061328:12064686 1 0.083333
12061370:12075610 1 0.000000
12062240:12080861 1 0.000000
12063341:12078020 1 0.000000
12063439:12079186 1 0.233333
12063453:12079655 1 0.000000
12063453:12082257 1 0.100000
12063916:12082253 1 0.216667
12064197:12080185 1 0.000000
12064439:12064686 1 0.000000
12064439:12081407 1 0.000000
12064686:12074066 1 0.416667
12065101:12078161 1 0.000000
12065466:12078443 1 284.466667
12065823:12078723 1 0.250000
12066288:12082609 1 0.216667
12066562:12082335 1 0.133333
12066599:12080402 1 0.000000
12067106:12075180 1 0.000000
12067106:12078570 1 0.150000
12067379:12078331 1 0.183333
12067526:12082988 1 0.350000
12067571:12076020 1 0.000000
12067620:12083855 1 0.000000
12067865:12080750 1 0.216667
12067865:12082321 1 0.100000
12068009:12083310 1 0.000000
12068126:12078844 1 0.350000
12068183:12078500 1 3929.150000
12068234:12078408 1 0.000000
12068249:12082944 1 0.000000
12068440:12078530 1 1189.216667
12068801:12082392 1 0.000000
12068957:12079008 1 0.233333
12069231:12081319 1 0.283333
12069905:12080640 1 0.000000
12070063:12081453 10 190.316667
12070077:12083658 1 0.000000
12070942:12082673 1 0.000000
12071251:12081231 1 0.000000
12071454:12079543 1 0.000000
12071470:12082624 1 1.000000
12071940:12074702 1 90.516667
12071940:12080829 1 0.166667
12072331:12081435 1 0.000000
12072342:12076919 1 0.000000
12073065:12080383 2 5.250000
12073083:12073600 1 0.600000
12073083:12083266 1 0.000000
12073154:12083956 1 0.000000
12073241:12076020 1 250.533333
12073541:12077975 1 0.000000
12073541:12078252 1 0.000000
12074863:12075687 1 0.000000
12075260:12079759 1 0.000000
12075528:12079491 1 0.000000
12075684:12078051 1 0.000000
12075686:12077566 1 0.050000
12075970:12076512 1 0.233333
12076146:12077741 1 0.000000
12076992:12082694 1 0.000000
12076992:12083194 1 0.466667
12077075:12082618 1 0.000000
12077115:12079044 1 0.000000
12078465:12082522 1 0.000000
12078703:12081185 1 0.000000
12079044:12081625 1 0.100000
12080448:12083755 1 0.000000
12081179:12083383 1 0.000000
12050059:12074382 1 0.000000
12050069:12079171 1 0.000000
12050566:12078831 1 0.133333
12050763:12079484 1 0.000000
12050809:12076020 1 0.000000
12051660:12081281 1 0.000000
12051850:12077426 1 0.166667
12052073:12074756 1 0.000000
12052136:12073237 1 0.000000
12052240:12081354 1 0.450000
12052323:12077924 1 0.366667
12055675:12081501 1 0.000000
12056509:12060969 1 0.000000
12056753:12065117 1 0.050000
12056983:12074230 1 1068.016667
12057029:12073541 1 7.216667
12057254:12075687 1 0.000000
12057319:12077566 1 0.000000
12057433:12076481 1 0.083333
12057475:12066966 1 0.000000
12060475:12078267 1 0.000000
12060906:12077518 1 0.000000
12061367:12078703 1 0.000000
12061384:12078047 1 0.000000
12061401:12078669 1 0.183333
12062773:12075969 1 0.216667
12063453:12077552 1 0.000000
12063642:12078483 1 0.000000
12063932:12081621 1 0.000000
12063983:12066108 5 3819.800000
12064686:12069231 1 1362.116667
12065117:12079440 1 0.000000
12066288:12078752 6 1650.450000
12066463:12082634 1 0.116667
12067038:12080770 1 0.116667
12067141:12076116 1 0.316667
12068059:12076164 1 566.300000
12068234:12079690 1 0.000000
12068412:12078235 1 0.000000
12068542:12071056 1 0.183333
12068784:12073541 1 0.150000
12069343:12070047 1 0.133333
12069452:12083356 1 0.000000
12069590:12074992 1 0.300000
12069806:12082157 1 0.000000
12071184:12074172 1 0.000000
12071251:12078979 1 0.733333
12071512:12082871 1 0.000000
12071535:12081399 1 0.200000
12071940:12081185 1 0.166667
12071967:12081804 1 0.000000
12071967:12083055 1 0.083333
12072344:12082519 1 0.266667
12073541:12075556 1 0.000000
12073541:12079267 1 0.700000
12074421:12078020 1 0.000000
12074824:12080039 1 0.000000
12075350:12080162 1 0.000000
12075387:12079517 1 0.283333
12075435:12076084 1 0.183333
12075646:12076513 1 0.000000
12076050:12078844 1 0.400000
12076212:12076239 1 0.000000
12076435:12078587 1 0.066667
12076519:12079833 1 0.000000
12077065:12078961 1 0.000000
12077075:12082495 1 0.000000
12077342:12077552 1 0.000000
12077882:12082004 1 0.000000
12078020:12080543 1 0.000000
12078339:12081231 1 0.000000
12080217:12084020 1 0.466667
12080228:12082886 1 0.000000
12080296:12082944 1 0.000000
12081241:12083288 1 0.000000
12081635:12083734 1 0.000000
12081883:12083296 1 0.366667
12082332:12083813 1 0.666667
12082623:12083512 1 0.483333
12082627:12082909 1 0.000000
12050474:12079260 1 0.200000
12050575:12080636 5 1303.983333
12050821:12078137 1 0.816667
12051347:12064686 1 0.000000
12052323:12078199 1 0.100000
12052323:12079183 1 0.350000
12055053:12077575 1 4.200000
12055053:12081808 1 0.283333
12055675:12082585 1 0.000000
12055675:12082593 1 0.333333
12056506:12064686 1 0.733333
12056983:12082094 1 0.000000
12057433:12082972 1 0.000000
12058162:12063983 1 0.000000
12060930:12079759 1 564.866667
12061914:12076354 1 0.083333
12063541:12071060 1 0.000000
12063541:12079550 1 0.000000
12063566:12065069 1 0.383333
12063993:12082978 1 0.000000
12064228:12074230 1 0.100000
12064436:12079828 1 0.150000
12064498:12077473 1 0.383333
12065286:12082797 1 2.516667
12065488:12080518 1 858.600000
12065674:12066828 1 0.150000
12066288:12081354 1 0.000000
12066659:12081923 1 0.000000
12066659:12081959 1 0.000000
12066698:12071896 1 0.000000
12066766:12082457 1 0.050000
12066987:12079018 1 0.000000
12067136:12080470 1 0.000000
12067268:12081350 1 0.000000
12067272:12083567 1 0.250000
12067464:12080314 1 0.000000
12067768:12083418 1 0.000000
12067789:12075502 1 0.000000
12068059:12076174 1 0.116667
12068059:12080518 1 0.116667
12068069:12068784 1 0.183333
12068093:12076174 1 0.000000
12068171:12082702 1 0.000000
12068324:12080617 1 0.000000
12068542:12078943 1 0.000000
12068612:12081890 1 0.233333
12068871:12080985 1 0.366667
12068957:12078810 1 0.583333
12069132:12079491 1 0.000000
12069281:12081221 1 0.283333
12069412:12080651 1 0.000000
12069452:12081546 1 0.083333
12069539:12079402 1 1.750000
12070608:12082799 1 0.483333
12071072:12081246 1 0.000000
12072137:12074382 1 2.400000
12072797:12077110 1 0.250000
12073302:12081387 1 4.816667
12074066:12080640 1 0.000000
12076992:12082707 1 0.000000
12076992:12082853 1 0.000000
12077075:12082457 1 0.116667
12077116:12082257 1 0.016667
12077720:12081376 1 234.933333
12078336:12080261 1 1172.000000
12078336:12081227 1 0.000000
12079702:12082938 1 0.000000
12080189:12082884 1 6.450000
12080314:12081304 1 0.416667
12080314:12082446 1 0.000000
12080704:12083376 1 0.000000
12082332:12083811 1 0.000000
12050131:12078507 1 0.000000
12050485:12082025 1 1165.266667
12050513:12078089 1 0.000000
12050680:12078235 1 0.000000
12051045:12082231 1 0.350000
12051169:12063770 1 0.333333
12051169:12077741 1 0.000000
12054566:12073065 1 0.000000
12055387:12077108 1 0.000000
12055387:12081433 1 23.466667
12055401:12078383 1 0.316667
12056595:12063141 1 0.000000
12057254:12080079 1 197.716667
12058162:12077877 5 3104.533333
12061384:12079016 1 0.000000
12062187:12079184 1 0.000000
12062240:12080538 1 0.000000
12062454:12079391 1 0.166667
12063541:12081369 1 0.000000
12063675:12081363 1 0.000000
12063847:12068612 1 0.000000
12063897:12080037 1 0.200000
12063916:12064686 1 0.000000
12064436:12073991 1 0.000000
12064686:12074425 1 0.866667
12064686:12074702 1 0.216667
12065286:12066886 1 0.000000
12066119:12074230 1 0.000000
12066197:12080597 1 0.000000
12066288:12080039 1 308.816667
12066828:12075017 1 230.433333
12067038:12071056 1 0.250000
12067141:12074230 1 0.166667
12067405:12083617 1 0.383333
12067571:12082944 1 0.000000
12068197:12068784 1 0.200000
12068507:12078020 1 0.000000
12068784:12078051 1 0.233333
12068801:12075148 1 0.000000
12068957:12074992 1 0.333333
12069214:12081931 1 0.000000
12069231:12082237 1 0.000000
12069492:12081340 1 0.000000
12069563:12075017 1 0.100000
12071707:12081380 1 0.000000
12072269:12081177 1 0.000000
12072269:12082620 1 0.000000
12072797:12076303 1 0.000000
12073065:12082797 1 0.000000
12073346:12076992 1 0.000000
12074066:12081635 1 0.000000
12074455:12082822 1 0.000000
12074587:12083333 1 0.000000
12074702:12082257 1 0.000000
12074855:12079875 1 0.733333
12075646:12080060 1 0.000000
12075686:12079044 1 0.016667
