room_id	MAX(live_id)
1	1567874515856886
7	1568546456222757
10	1567822145124631
11	1568630790461178
12	1565876774799687
15	1568888692459269
16	1568276725794435
18	1568184028974169
19	1568294632426283
24	1568292169569430
25	1568280909914107
26	1568292484970282
27	1565946119521509
28	1566544267078601
31	1568280014378297
51	1566990145897328
64	1567445241115047
65	1567049197508504
67	1568330225429821
74	1568243055434653
77	1568703574434853
78	1568731660414391
79	1568923443427508
81	1568182394351409
82	1568890978730313
86	1565944416153354
91	1566313827205295
92	1566766628634553
93	1566234818186437
95	1565976291899574
98	1565856020990691
106	1566372532585837
107	1567900872529356
108	1568231566205719
109	1568231559461648
110	1568231667122524
112	1568150574183471
115	1568334367282846
118	1566947003196475
126	1566472197221281
130	1565911654818694
131	1565867895090850
132	1567626883068014
133	1568893036006694
141	1567683426093774
144	1566611910390448
145	1568883861576871
147	1565855298801464
148	1565857755555814
149	1565859599459262
150	1565867366564608
151	1566234343210608
152	1565870040824115
153	1565870350661068
154	1565895693922788
155	1565874388659746
156	1567814037976909
157	1565878444091351
158	1565885575911425
159	1565887782737966
160	1565888149464351
161	1565888825180637
162	1565890046352052
163	1567669467309921
164	1565893808141869
165	1565895089962817
166	1565899939968734
167	1565900350023683
168	1565902854053863
169	1565908877614954
170	1566003264635351
171	1565911685743738
172	1565910355951970
173	1568531523698426
174	1565912351280784
175	1566688883316614
176	1565923089020294
177	1565924016349007
178	1565947448001992
179	1565925717336934
180	1565929678826208
181	1565932759110079
182	1565934909147998
183	1565938354386118
184	1568881760532887
185	1568098454094455
186	1565948310410810
187	1565955837586956
188	1565957760785634
189	1568878121394786
190	1568886874506667
191	1565959051215442
192	1565960313752577
193	1567439765297522
194	1565965665340451
195	1567461156995183
196	1565976685055462
197	1565978340628019
198	1565980110298249
199	1565981129182072
200	1565981626270629
201	1565986884292018
202	1565995365613666
203	1565995787115011
204	1566000515128343
205	1566001402274201
206	1566004766915594
207	1566003583033478
208	1566008894088989
209	1566009405121417
210	1566030573417671
211	1566032065019775
212	1566180583571160
213	1567780303040492
214	1566040173755052
215	1566041188188365
216	1566048007478109
217	1566051095966268
218	1566051484010875
219	1566052428717984
220	1566058582590301
221	1566063400134380
222	1567435322843699
223	1568915703267081
224	1568721319124940
225	1568862783140626
226	1566080037003332
227	1566081066903038
228	1566084626018361
229	1566087607381304
230	1566119600470182
231	1566166154433510
232	1566344843811902
233	1566096615530134
234	1566098187537864
235	1566099428494182
236	1566101571977127
237	1566104425125321
238	1566106922156574
239	1566110690789444
240	1567873663894768
241	1566150858122686
242	1566120620206186
243	1566121414401099
244	1566156267440019
245	1566124437804436
246	1566124618609615
247	1566126159265597
248	1566133782305169
249	1566137118388064
250	1566144121308220
251	1566145197395364
252	1566146124214119
253	1566147017450104
254	1566147376096318
255	1566147714410320
256	1566163176678115
257	1566164047733132
258	1566164662321280
259	1566165689213745
260	1566596373156862
261	1566178154672202
262	1566180181120944
263	1566181619740252
264	1566181727250891
265	1566181842137799
266	1566185647478857
267	1566195103781127
268	1566275851371222
269	1566197306671567
270	1566827224061163
271	1566308126591247
272	1566209034220504
273	1566210944602909
274	1567677197837903
275	1566213041092431
276	1567543981013386
277	1566217198876565
278	1566220236685918
279	1566219762196792
280	1568035241782396
281	1566223463197025
282	1566225260323968
283	1567214411615547
284	1566317272998429
285	1566233413237924
286	1566237305791887
287	1566247261817415
288	1566248129492244
289	1566249040422771
290	1566290183333752
