ID	回复回合数	时间数
10000:12030818 1 4243.333333
10000:12030823 1 2928.200000
10000:12030988 1 2910.583333
10000:12031295 1 4243.866667
10000:12031296 1 4230.383333
10000:12031301 1 4235.716667
10000:12031634 1 2903.983333
10000:12031789 1 4238.083333
10000:12032117 1 4238.066667
10000:12032141 1 2920.733333
10000:12032266 1 4242.316667
10000:12032277 1 4234.716667
10000:12032590 1 2921.000000
10000:12032595 1 2920.466667
10000:12032913 1 4229.600000
10000:12033073 1 4237.216667
10000:12033078 1 4234.100000
10000:12033389 1 2910.283333
10000:12033406 1 4238.100000
10000:12033556 1 4230.666667
10000:12033874 1 4243.633333
10000:12033879 1 2921.083333
10000:12033889 1 2925.566667
10000:12034197 1 2925.366667
10000:12034357 1 4232.400000
10000:12034367 1 2909.983333
10000:12034532 1 2914.183333
10000:12034678 1 4233.466667
10000:12034680 1 4232.816667
10000:12034845 1 2927.783333
10000:12035168 1 2922.116667
10000:12035328 1 2918.233333
10000:12035338 1 4236.900000
10000:12035646 1 4238.883333
10000:12035661 1 4240.450000
10000:12035685 1 2913.233333
10000:12035821 1 4243.000000
10000:12035969 1 4228.833333
10000:12036129 1 2933.800000
10000:12036139 1 2909.183333
10000:12036457 1 4239.766667
10000:12036462 1 4239.033333
10000:12036617 1 4232.566667
10000:12036622 1 2918.716667
10000:12036627 1 4228.833333
10000:12036940 1 2925.450000
10000:12036945 1 2927.300000
10000:12036974 1 2933.783333
10000:12037110 1 2914.133333
10000:12037267 1 2912.083333
10000:12037418 1 4245.766667
10000:12037583 1 2928.700000
10000:12037593 1 2926.266667
10000:12037741 1 2915.583333
10000:12037901 1 4231.066667
10000:12037906 1 4224.850000
10000:12037911 1 4237.283333
10000:12037916 1 4241.333333
10000:12038229 1 2913.900000
10000:12038234 1 2921.950000
10000:12038240 1 4235.816667
10000:12038389 1 2914.983333
10000:12038399 1 4247.183333
10000:12038712 1 4235.916667
10000:12038717 1 4240.400000
10000:12039200 1 4236.416667
10000:12039229 1 2909.200000
10000:12039355 1 2920.033333
10000:12039365 1 2913.733333
10000:12039513 1 2930.050000
10000:12039518 1 2928.683333
10000:12039522 1 2923.333333
10000:12039673 1 2922.933333
10000:12039683 1 4229.433333
10000:12039688 1 4237.900000
10000:12039848 1 2918.600000
10000:12039996 1 4230.283333
10000:12040001 1 4237.466667
10000:12040006 1 4228.716667
10000:12040161 1 2929.950000
10000:12040318 1 4240.500000
10000:12040479 1 4248.083333
10000:12040489 1 2920.600000
12030561:12102558 1 217.883333
12030561:12112384 1 0.683333
12030561:12114325 1 0.000000
12030561:12114480 2 38.283333
12030561:12115774 12 14.966667
12030561:12117053 1 1130.183333
12030561:12117864 10 65.700000
12030561:12118352 1 0.000000
12030562:12054548 1 4189.333333
12030562:12099162 1 0.000000
12030562:12101258 1 0.000000
12030562:12101266 1 0.000000
12030562:12101741 1 0.000000
12030562:12112383 7 2586.400000
12030562:12113503 1 0.000000
12030562:12114800 1 316.466667
12030562:12115280 2 18.083333
12030562:12118994 1 0.750000
12030562:12119640 1 0.083333
12030564:12043416 1 0.616667
12030564:12045198 1 0.250000
12030564:12098688 1 0.000000
12030564:12099484 1 0.000000
12030564:12099972 1 0.000000
12030564:12100136 1 0.000000
12030564:12100455 1 0.000000
12030564:12114317 13 26.133333
12030564:12114466 1 0.366667
12030564:12114798 1 0.000000
12030564:12114805 1 0.000000
12030564:12114949 1 2.416667
12030564:12115437 1 0.100000
12030564:12115756 2 3.133333
12030564:12116254 1 1.583333
12030564:12116737 1 1167.150000
12030564:12117849 1 0.050000
12030564:12117861 1 0.000000
12030564:12118339 1 1.133333
12030564:12118349 15 903.366667
12030564:12119638 9 24.666667
12030564:12119788 1 4.416667
12030566:12100453 1 0.000000
12030566:12102075 1 0.000000
12030566:12109153 2 2743.800000
12030566:12113982 8 16.116667
12030566:12115276 2 5.650000
12030566:12115435 8 13.716667
12030566:12115769 2 202.316667
12030566:12116087 1 0.000000
12030566:12116252 1 4.316667
12030566:12116558 1 866.133333
12030566:12116565 13 12.533333
12030566:12116735 1 5.466667
12030566:12118024 2 7.766667
12030566:12118854 8 15.100000
12030566:12118990 1 0.000000
12030569:12043416 1 0.000000
12030569:12092065 1 0.000000
12030569:12100450 1 0.000000
12030569:12101259 1 0.000000
12030569:12103031 1 0.000000
12030569:12109793 1 0.000000
12030569:12114317 3 32.866667
12030569:12116555 1 860.566667
12030569:12116562 1 865.166667
12030569:12116596 1 0.000000
12030569:12117215 1 0.283333
12030569:12117844 5 1278.733333
12030569:12117856 1 0.666667
12030569:12117861 1 0.000000
12030569:12118987 1 0.350000
12030569:12119633 1 0.000000
12030569:12119783 8 13.516667
12030570:12100454 1 0.000000
12030570:12101743 1 0.000000
12030570:12102231 1 0.000000
12030570:12113993 3 15.633333
12030570:12114471 4 16.933333
12030570:12114792 1 278.600000
12030570:12115267 1 0.000000
12030570:12115272 8 14.550000
12030570:12115442 1 0.000000
12030570:12115765 1 0.000000
12030570:12116566 2 1003.700000
12030570:12116571 1 856.333333
12030570:12118343 1 0.000000
12030570:12118816 13 5.833333
12030570:12119309 1 0.766667
12030570:12119782 1 0.000000
12030572:12099476 1 0.000000
12030572:12101741 1 0.000000
12030572:12111238 1 0.000000
12030572:12114314 8 28.900000
12030572:12115429 1 0.000000
12030572:12115440 1 0.000000
12030572:12115763 2 1439.000000
12030572:12116086 1 0.000000
12030572:12116552 1 0.133333
12030572:12116559 1 3.750000
12030572:12117042 1 0.100000
12030572:12118824 1 0.133333
12030572:12118984 10 92.616667
12030575:12101284 1 0.000000
12030575:12102216 1 0.000000
12030575:12102693 1 0.000000
12030575:12103862 1 0.450000
12030575:12107049 1 0.116667
12030575:12113007 1 0.000000
12030575:12114466 1 0.000000
12030575:12115262 8 107.283333
12030575:12115267 1 0.000000
12030575:12115745 1 0.000000
12030575:12116243 6 1349.216667
12030575:12116549 1 0.000000
12030575:12116556 1 0.000000
12030575:12116710 1 0.000000
12030575:12117039 9 6.450000
12030575:12118015 1 0.316667
12030575:12118498 1 16.183333
12030575:12119777 1 0.433333
12030575:12120105 6 9.833333
12030577:12099471 1 0.000000
12030577:12100452 1 0.000000
12030577:12101736 1 0.000000
12030577:12104792 1 0.000000
12030577:12113657 1 1.650000
12030577:12114292 1 0.000000
12030577:12114309 9 4.833333
12030577:12115260 1 0.000000
12030577:12115435 1 0.100000
12030577:12116076 11 18.483333
12030577:12116241 1 0.000000
12030577:12116547 1 0.166667
12030577:12116559 1 0.650000
12030577:12116708 1 0.000000
12030577:12117047 1 0.266667
12030577:12117207 1 0.000000
