ID	回复回合数	时间数
12030575:12104787 0 0.000000
12030575:12104954 2 23.733333
12030575:12109338 0 0.000000
12030575:12109797 8 13.366667
12030577:12103665 0 0.000000
12030577:12103696 0 0.000000
12030577:12104628 0 1.950000
12030577:12105435 0 0.000000
12030577:12108655 0 0.000000
12030577:12110276 0 0.200000
12030577:12112050 1 1.600000
12030580:12107401 1 1166.700000
12030580:12109615 1 7.500000
12030580:12109941 0 0.000000
12030583:12109938 1 3.066667
12030583:12110105 1 2.516667
12030585:12111236 10 101.483333
12030585:12111865 8 6.466667
12030585:12112042 2 4.650000
12030585:12112525 1 2.416667
12030625:12109264 1 75.133333
12030625:12111835 2 1.966667
12030625:12112002 0 0.000000
12030641:12111850 0 7.000000
12030659:12103614 0 0.000000
12030659:12109536 1 990.700000
12030659:12109713 1 10.366667
12030659:12110345 0 0.000000
12030667:12111824 1 145.200000
12030734:12104954 0 0.000000
12030741:12104947 0 0.166667
12030741:12111709 7 18.866667
12030760:12110095 1 582.916667
12030763:12109432 0 0.000000
12030763:12112010 8 12.283333
12030764:12105414 0 0.000000
12030764:12109608 11 48.050000
12030771:12059654 1 49.033333
12030771:12105251 1 15.083333
12030778:12102987 0 0.000000
12030785:12111842 9 11.833333
12030787:12102978 0 0.000000
12030802:12108279 11 79.200000
12030802:12110210 1 5.866667
12030802:12111974 11 14.166667
12030803:12106991 0 0.000000
12036524:12111766 1 2.600000
12030561:12062593 0 3.216667
12030561:12110318 1 20.883333
12030561:12111566 0 0.150000
12030562:12104487 0 0.000000
12030562:12109315 6 12.583333
12030562:12109510 0 0.000000
12030562:12109803 0 0.000000
12030564:12103391 0 0.000000
12030564:12104680 0 0.000000
12030564:12109161 0 0.000000
12030564:12110274 0 0.000000
12030564:12110315 0 0.183333
12030566:12074353 0 0.000000
12030566:12104647 0 0.000000
12030566:12110282 0 0.166667
12030569:12103357 0 0.000000
12030569:12109303 0 0.900000
12030570:12055181 0 0.000000
12030570:12112050 1 104.266667
12030572:12064686 0 0.000000
12030572:12091914 11 1830.500000
12030572:12103827 0 0.000000
12030572:12104472 0 0.000000
12030572:12108827 5 15.783333
12030572:12109793 0 0.333333
12030572:12110276 12 169.050000
12030575:12079979 0 0.000000
12030575:12102050 0 0.000000
12030575:12104669 0 0.000000
12030575:12110304 10 11.983333
12030577:12109295 0 0.183333
12030580:12090616 0 0.000000
12030580:12101896 11 171.600000
12030580:12109292 8 26.883333
12030580:12110263 1 11.600000
12030580:12111547 10 366.566667
12030583:12110296 0 0.000000
12030583:12111236 0 0.000000
12030625:12111995 1 0.666667
12030743:12104789 0 0.000000
12030750:12108975 1 179.383333
12030753:12103656 0 0.000000
12030753:12110095 0 0.000000
12030759:12109606 8 8.283333
12030762:12090919 0 0.333333
12030767:12110076 1 46.433333
12030769:12109303 14 1457.583333
12030771:12110067 7 14.650000
12030772:12056753 1 312.166667
12030772:12110076 6 1462.233333
12030773:12102987 0 0.000000
12030778:12108947 1 34.966667
12030779:12105402 0 0.000000
12030784:12109093 7 638.816667
12030790:12108935 1 623.133333
12030791:12107807 0 0.416667
12030797:12108279 12 25.916667
12032806:12109362 1 1272.066667
12033864:12111494 0 0.000000
12030561:12053079 1 331.350000
12030561:12067142 0 0.000000
12030561:12098843 11 17.633333
12030561:12102552 0 0.000000
12030561:12108993 0 0.000000
12030561:12112547 0 0.000000
12030562:12109187 0 0.000000
12030562:12109515 1 1383.983333
12030562:12109808 0 0.150000
12030562:12111740 0 0.066667
12030564:12090150 0 0.000000
12030564:12109467 0 0.000000
12030564:12110323 1 17.866667
12030564:12111286 0 0.000000
12030564:12111573 0 0.366667
12030564:12111763 1 1.516667
12030564:12112568 12 23.600000
12030566:12098843 0 0.000000
12030566:12100770 0 0.000000
12030566:12104671 0 0.000000
12030566:12108993 0 0.000000
12030566:12109476 7 2964.416667
12030566:12112568 0 0.500000
12030566:12112696 8 12.350000
12030569:12088357 12 139.150000
12030569:12104156 0 0.000000
12030569:12108214 1 4.733333
12030569:12112406 3 54.666667
12030569:12112539 0 0.100000
12030569:12112693 8 27.316667
12030570:12103188 0 0.000000
12030570:12104155 0 0.000000
12030570:12109960 9 28.400000
12030570:12112055 7 24.183333
12030570:12112538 9 5.016667
12030570:12112562 1 20.766667
12030570:12112569 0 0.000000
12030570:12112572 0 0.100000
12030572:12082884 0 0.283333
12030572:12109177 0 0.000000
12030572:12109475 0 0.000000
12030572:12109958 1 64.366667
12030572:12110315 9 13.066667
12030572:12112690 1 9.283333
12030575:12103827 0 0.000000
12030575:12110312 11 29.166667
12030575:12112050 7 106.866667
12030575:12112533 0 0.000000
12030575:12112559 1 6.333333
12030577:12104626 0 0.000000
12030577:12109793 0 0.400000
12030577:12110310 9 39.950000
12030577:12111709 8 30.650000
12030577:12112685 1 1.750000
12030580:12096239 0 0.000000
12030580:12103178 0 0.000000
12030580:12103529 0 0.000000
12030580:12106722 8 20.833333
12030580:12109169 0 0.066667
12030580:12109497 0 19.516667
12030580:12112045 1 3.033333
12030580:12112552 2 5.016667
12030580:12112559 1 0.900000
