abodullaegypt1	12030762	12078191	2019-06-11 05:06:24	2019-06-11 05:01:25	{"content":"ممكن تسجلي لي حاجه بصوتك ؟"}
abodullaegypt1	12030762	12078191	2019-06-11 05:11:21	2019-06-11 05:01:25	{"content":"مكسوفه ولا ايه"}
 --------------------------creator:abodullaegypt1 有效聊天数:7-------------------------------------
abodullaegypt1	12030734	12030734	2019-06-11 05:01:33	2019-06-11 05:01:33	{"content":"شكرا"}
abodullaegypt1	12030734	12030734	2019-06-11 05:01:43	2019-06-11 05:01:33	{"content":"انا ناهد"}
abodullaegypt1	12030734	12104589	2019-06-11 05:02:07	2019-06-11 05:01:33	{"content":"منين يقمر"}
abodullaegypt1	12030734	12030734	2019-06-11 05:02:50	2019-06-11 05:01:33	{"content":"سوريا يا عيونى"}
abodullaegypt1	12030734	12104589	2019-06-11 05:03:22	2019-06-11 05:01:33	{"content":"اللة انا مصرى بس بحب سوريا جدا"}
abodullaegypt1	12030734	12030734	2019-06-11 05:04:04	2019-06-11 05:01:33	{"content":"احنا اهل"}
abodullaegypt1	12030734	12104589	2019-06-11 05:04:13	2019-06-11 05:01:33	{"content":"طبعا"}
abodullaegypt1	12030734	12104589	2019-06-11 05:05:18	2019-06-11 05:01:33	{"content":"هقولك علي حاجة سر انا نفسي اتجوز بنت سوريا"}
abodullaegypt1	12030734	12030734	2019-06-11 05:05:22	2019-06-11 05:01:33	{"content":"عمرك كام"}
abodullaegypt1	12030734	12104589	2019-06-11 05:05:46	2019-06-11 05:01:33	{"content":"بصراحة 30"}
abodullaegypt1	12030734	12104589	2019-06-11 05:06:16	2019-06-11 05:01:33	{"content":"وانتي"}
abodullaegypt1	12030734	12030734	2019-06-11 05:07:03	2019-06-11 05:01:33	{"content":"26"}
abodullaegypt1	12030734	12104589	2019-06-11 05:07:45	2019-06-11 05:01:33	{"content":"مقيمة فين  أو قاعدة فين"}
abodullaegypt1	12030734	12104589	2019-06-11 05:09:10	2019-06-11 05:01:33	{"content":"اية رحتي فين"}
