ID	回复回合数	时间数
10000:12038392 1 1413.766667
10000:12038394 1 1423.766667
10000:12038548 1 1407.433333
10000:12038549 1 1400.800000
10000:12038715 1 1418.216667
10000:12038872 1 1416.550000
10000:12038875 1 1422.600000
10000:12038882 1 1422.466667
10000:12038906 1 1424.966667
10000:12039190 1 1417.633333
10000:12039195 1 1409.150000
10000:12039198 1 1420.816667
10000:12039678 1 1411.533333
10000:12040166 1 1425.100000
10000:12040171 1 1412.516667
10000:12040321 1 1415.716667
10000:12040331 1 1407.033333
10000:12040477 1 1414.300000
10000:12040644 1 1412.416667
10000:12040647 1 1410.216667
10000:12040654 1 1420.933333
12030561:12074230 1 0.000000
12030561:12105296 1 0.000000
12030561:12109005 1 0.000000
12030561:12109153 1 0.183333
12030561:12109636 1 5.000000
12030561:12110284 2 9.466667
12030561:12111896 2 50.883333
12030562:12045198 1 0.000000
12030562:12087732 1 0.000000
12030562:12109487 10 18.750000
12030562:12109967 7 10.966667
12030562:12111729 2 3.466667
12030562:12111905 1 62.583333
12030562:12112055 11 16.483333
12030564:12104169 1 0.000000
12030564:12104810 1 0.000000
12030564:12108837 1 673.683333
12030564:12109150 1 5.933333
12030564:12109633 7 69.766667
12030566:12104167 1 0.833333
12030566:12109148 5 14.383333
12030566:12109483 1 38.566667
12030566:12109963 6 36.850000
12030566:12110124 11 7.133333
12030569:12050191 1 327.350000
12030569:12055181 1 0.000000
12030569:12104487 1 0.000000
12030569:12104805 1 0.000000
12030569:12108827 8 110.266667
12030569:12109628 1 0.000000
12030569:12109636 1 7.783333
12030569:12109667 4 72.016667
12030569:12109960 11 7.266667
12030569:12110276 8 1128.050000
12030569:12110925 2 7.100000
12030570:12109959 22 2393.683333
12030570:12110120 15 29.400000
12030570:12111882 1 0.000000
12030572:12057433 1 1705.816667
12030572:12090940 1 0.000000
12030572:12099635 2 2361.016667
12030572:12104158 1 6.850000
12030572:12105773 2 163.016667
12030572:12111572 1 320.466667
12030572:12111895 1 0.116667
12030572:12111896 12 59.216667
12030575:12103508 1 0.000000
12030575:12104021 1 0.750000
12030575:12104158 1 0.000000
12030575:12104641 1 0.000000
12030575:12106726 1 751.550000
12030575:12109630 1 159.900000
12030575:12111882 12 25.966667
12030575:12112365 2 1.566667
12030577:12104156 1 0.000000
12030577:12109628 1 16.616667
12030580:12046629 1 0.000000
12030580:12051942 1 0.183333
12030580:12104636 1 0.000000
12030580:12109617 1 752.350000
12030583:12110595 1 0.433333
12030583:12110742 1 0.000000
12030583:12111708 1 0.000000
12030585:12109944 1 0.000000
12030596:12044042 1 0.000000
12030625:12110065 1 2.900000
12030659:12110036 3 12.716667
12030667:12109047 10 27.400000
12030728:12062593 1 0.083333
12030734:12109471 9 51.600000
12030744:12109302 1 566.383333
12030748:12108966 3 52.050000
12030754:12105591 1 4235.116667
12030754:12109292 1 0.000000
12030759:12056753 1 313.550000
12030763:12109442 12 51.466667
12030763:12111206 1 2.966667
12030767:12104289 1 0.000000
12030769:12110076 2 222.850000
12030772:12104602 1 0.000000
12030772:12109433 8 11.100000
12030780:12109900 8 23.550000
12030784:12063983 11 1482.116667
12030787:12108286 1 0.000000
12030791:12104748 1 0.000000
10000:12030647 1 1427.366667
10000:12030652 1 1412.916667
10000:12030654 1 1414.600000
10000:12030693 1 1425.766667
10000:12030811 1 1416.633333
10000:12030970 1 1416.416667
10000:12031137 1 1416.250000
10000:12031140 1 1412.733333
10000:12031147 1 1421.650000
10000:12031293 1 1407.300000
10000:12031334 1 1404.450000
10000:12031463 1 1420.883333
10000:12031630 1 1422.450000
10000:12031943 1 1411.450000
