id	uid	recv_uid	cycle_day	coin	gift_info	uid_coin_order	uid_coin_order_status	recv_uid_coin_order	recv_uid_coin_order_status	uid_gift_order	uid_gift_order_status	recv_uid_gift_order	recv_uid_gift_order_status	created	updated
90	12426836	12461399	2019-12-12	5000		2019121900300061488	2	2019121900300061489	2	20191219003000527	2	20191219003000528	2	2019-12-19 00:30:00	2019-12-19 00:30:00
91	12462577	12463823	2019-12-12	0			0		0	20191219003000529	2	20191219003000530	2	2019-12-19 00:30:00	2019-12-19 00:30:00
92	12462656	12463368	2019-12-12	0			0		0	20191219003000531	2	20191219003000532	2	2019-12-19 00:30:00	2019-12-19 00:30:00
93	12397755	12467214	2019-12-19	5000		2019122600300071591	2	2019122600300071592	2	20191226003000915	2	20191226003000916	2	2019-12-26 00:30:00	2019-12-26 00:30:00
94	12389381	12466153	2019-12-19	0			0		0	20191226003000917	2	20191226003000918	2	2019-12-26 00:30:00	2019-12-26 00:30:00
95	12461399	12463023	2019-12-19	0			0		0	20191226003000919	2	20191226003000920	2	2019-12-26 00:30:00	2019-12-26 00:30:00
